Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 2. Emergency,"2,067",,85%,,83%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 2. Emergency,"2,088",,86%,,84%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 2. Emergency,"2,259",,85%,,84%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 2. Emergency,"2,844",,85%,,82%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 3. Urgent,"5,611",,75%,,78%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 3. Urgent,"6,123",,83%,,81%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 3. Urgent,"6,002",,82%,,80%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 3. Urgent,"6,282",,75%,,79%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 3. Urgent,"6,838",,73%,,77%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 3. Urgent,"6,734",,77%,,77%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 3. Urgent,"7,268",,71%,,75%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 3. Urgent,"7,534",,75%,,74%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 4. Semi-Urgent,"12,002",,70%,,78%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 4. Semi-Urgent,"11,546",,81%,,82%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 4. Semi-Urgent,"11,004",,76%,,80%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 4. Semi-Urgent,"9,515",,74%,,81%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 4. Semi-Urgent,"8,489",,72%,,80%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 4. Semi-Urgent,"8,366",,74%,,79%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 4. Semi-Urgent,"8,205",,70%,,78%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 4. Semi-Urgent,"8,555",,76%,,77%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,520",,92%,,92%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,086",,93%,,94%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,600",,92%,,94%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,110",,94%,,95%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 5. Non-Urgent,842,,94%,,95%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 5. Non-Urgent,978,,93%,,95%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 5. Non-Urgent,912,,91%,,94%
Maryborough Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,046",,93%,,94%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,37,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,18,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,24,,96%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,17,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,32,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,32,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,102,,99%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,109,,100%,,100%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"2,551",,96%,,81%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"2,541",,96%,,84%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"2,338",,95%,,84%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"2,692",,91%,,80%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"2,923",,86%,,77%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"3,793",,80%,,76%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"5,134",,71%,,77%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"5,873",,66%,,76%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"12,747",,82%,,62%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"12,459",,84%,,63%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"12,799",,85%,,65%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"13,734",,74%,,63%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 3. Urgent,"16,580",,65%,,63%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 3. Urgent,"18,315",,60%,,61%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 3. Urgent,"21,169",,50%,,60%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 3. Urgent,"23,415",,48%,,59%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 4. Semi-Urgent,"17,324",,67%,,66%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 4. Semi-Urgent,"18,495",,73%,,68%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 4. Semi-Urgent,"19,408",,79%,,72%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 4. Semi-Urgent,"18,345",,66%,,72%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 4. Semi-Urgent,"17,505",,61%,,73%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 4. Semi-Urgent,"17,007",,66%,,73%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 4. Semi-Urgent,"16,518",,66%,,72%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 4. Semi-Urgent,"16,904",,64%,,71%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 5. Non-Urgent,"1,959",,85%,,89%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,280",,84%,,90%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,064",,90%,,92%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,242",,81%,,92%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,350",,86%,,92%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,757",,87%,,92%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,963",,90%,,92%
Mater Adult Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 5. Non-Urgent,"2,280",,87%,,91%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2011–12,Triage 1. Resuscitation,287,,100%,,100%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2012–13,Triage 1. Resuscitation,384,,98%,,100%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2013–14,Triage 1. Resuscitation,351,,99%,,100%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2014–15,Triage 1. Resuscitation,173,,98%,,100%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2011–12,Triage 2. Emergency,"3,547",,73%,,88%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2012–13,Triage 2. Emergency,"3,560",,74%,,87%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2013–14,Triage 2. Emergency,"3,833",,68%,,87%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2014–15,Triage 2. Emergency,"1,629",,65%,,86%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2011–12,Triage 3. Urgent,"11,787",,59%,,71%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2012–13,Triage 3. Urgent,"11,783",,64%,,71%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2013–14,Triage 3. Urgent,"12,404",,58%,,73%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2014–15,Triage 3. Urgent,"5,205",,55%,,65%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2011–12,Triage 4. Semi-Urgent,"25,168",,63%,,65%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2012–13,Triage 4. Semi-Urgent,"27,092",,65%,,65%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2013–14,Triage 4. Semi-Urgent,"25,811",,62%,,67%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2014–15,Triage 4. Semi-Urgent,"9,470",,55%,,62%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2011–12,Triage 5. Non-Urgent,266,,93%,,81%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2012–13,Triage 5. Non-Urgent,473,,92%,,83%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2013–14,Triage 5. Non-Urgent,505,,91%,,85%
Mater Children's Hospital,Hospital,Qld,Children's hospitals,FY,2014–15,Triage 5. Non-Urgent,196,,88%,,87%
Metro North (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 1. Resuscitation,"1,605",,100%,,Not peered
Metro North (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 2. Emergency,"45,512",,78%,,Not peered
Metro North (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 3. Urgent,"131,692",,60%,,Not peered
Metro North (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"91,661",,77%,,Not peered
Metro North (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 5. Non-Urgent,"16,504",,95%,,Not peered
Metro South (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 1. Resuscitation,"3,767",,100%,,Not peered
Metro South (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 2. Emergency,"57,399",,66%,,Not peered
Metro South (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 3. Urgent,"127,792",,58%,,Not peered
Metro South (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"61,269",,72%,,Not peered
Metro South (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 5. Non-Urgent,"8,871",,91%,,Not peered
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 1. Resuscitation,108,,100%,,99%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 1. Resuscitation,110,,100%,,100%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 1. Resuscitation,74,,99%,,100%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 1. Resuscitation,55,,100%,,99%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 1. Resuscitation,65,,100%,,100%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 1. Resuscitation,57,,96%,,99%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 1. Resuscitation,115,,97%,,100%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 1. Resuscitation,116,,100%,,100%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 2. Emergency,"2,308",,95%,,83%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 2. Emergency,"2,174",,93%,,87%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 2. Emergency,"1,954",,95%,,85%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 2. Emergency,"1,896",,96%,,86%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 2. Emergency,"2,130",,98%,,83%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 2. Emergency,"1,805",,97%,,84%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 2. Emergency,"2,365",,94%,,84%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 2. Emergency,"2,404",,96%,,82%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 3. Urgent,"10,739",,84%,,78%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 3. Urgent,"9,974",,82%,,81%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 3. Urgent,"8,704",,86%,,80%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 3. Urgent,"6,966",,88%,,79%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 3. Urgent,"7,433",,90%,,77%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 3. Urgent,"7,458",,91%,,77%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 3. Urgent,"7,324",,85%,,75%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 3. Urgent,"7,824",,82%,,74%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 4. Semi-Urgent,"14,141",,72%,,78%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 4. Semi-Urgent,"14,217",,65%,,82%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 4. Semi-Urgent,"15,490",,75%,,80%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 4. Semi-Urgent,"13,429",,80%,,81%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 4. Semi-Urgent,"13,682",,86%,,80%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 4. Semi-Urgent,"12,266",,85%,,79%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 4. Semi-Urgent,"11,586",,80%,,78%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 4. Semi-Urgent,"12,029",,77%,,77%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,694",,86%,,92%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,212",,84%,,94%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,679",,88%,,94%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2014–15,Triage 5. Non-Urgent,"2,931",,92%,,95%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2015–16,Triage 5. Non-Urgent,"3,189",,98%,,95%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2016–17,Triage 5. Non-Urgent,"3,392",,97%,,95%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2017–18,Triage 5. Non-Urgent,"2,902",,97%,,94%
Mount Isa Base Hospital,Hospital,Qld,Medium regional hospitals,FY,2018–19,Triage 5. Non-Urgent,"3,208",,94%,,94%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,344,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,564,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,523,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,604,,98%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,505,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,410,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,106,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,117,,100%,,100%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"6,780",,79%,,81%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"7,609",,85%,,84%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"8,714",,82%,,84%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"8,642",,84%,,80%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"8,989",,81%,,77%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"7,839",,77%,,76%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"3,987",,76%,,77%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 2. Emergency,"4,479",,82%,,76%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 3. Urgent,"18,534",,55%,,62%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 3. Urgent,"19,989",,57%,,63%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 3. Urgent,"21,865",,57%,,65%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 3. Urgent,"22,436",,57%,,63%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 3. Urgent,"23,269",,57%,,63%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 3. Urgent,"21,220",,53%,,61%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 3. Urgent,"11,266",,62%,,60%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 3. Urgent,"12,842",,69%,,59%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 4. Semi-Urgent,"12,890",,65%,,66%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 4. Semi-Urgent,"13,730",,74%,,68%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 4. Semi-Urgent,"14,023",,70%,,72%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 4. Semi-Urgent,"15,498",,69%,,72%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 4. Semi-Urgent,"16,864",,70%,,73%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 4. Semi-Urgent,"15,409",,68%,,73%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 4. Semi-Urgent,"12,225",,79%,,72%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 4. Semi-Urgent,"12,584",,84%,,71%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2011–12,Triage 5. Non-Urgent,"1,471",,87%,,89%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2012–13,Triage 5. Non-Urgent,"2,094",,93%,,90%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,124",,89%,,92%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2014–15,Triage 5. Non-Urgent,"2,293",,89%,,92%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2015–16,Triage 5. Non-Urgent,"2,390",,89%,,92%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2016–17,Triage 5. Non-Urgent,"2,356",,91%,,92%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2017–18,Triage 5. Non-Urgent,"2,230",,94%,,92%
Nambour General Hospital,Hospital,Qld,Large metropolitan hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,297",,96%,,91%
North West (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 1. Resuscitation,116,,100%,,Not peered
North West (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 2. Emergency,"2,404",,96%,,Not peered
North West (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 3. Urgent,"7,824",,82%,,Not peered
North West (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"12,029",,77%,,Not peered
North West (Qld),Local hospital network,Qld,Unpeered,FY,2018–19,Triage 5. Non-Urgent,"3,208",,94%,,Not peered
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2011–12,Triage 1. Resuscitation,"1,988",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2012–13,Triage 1. Resuscitation,"1,309",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2013–14,Triage 1. Resuscitation,"1,164",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2014–15,Triage 1. Resuscitation,"1,153",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2015–16,Triage 1. Resuscitation,"1,097",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2016–17,Triage 1. Resuscitation,"1,295",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2017–18,Triage 1. Resuscitation,"1,447",,99%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2018–19,Triage 1. Resuscitation,"2,148",,100%,,100%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2011–12,Triage 2. Emergency,"10,709",,82%,,80%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2012–13,Triage 2. Emergency,"11,425",,87%,,80%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2013–14,Triage 2. Emergency,"11,935",,89%,,78%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2014–15,Triage 2. Emergency,"12,588",,88%,,74%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2015–16,Triage 2. Emergency,"12,347",,75%,,73%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2016–17,Triage 2. Emergency,"12,681",,77%,,71%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2017–18,Triage 2. Emergency,"13,502",,77%,,70%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2018–19,Triage 2. Emergency,"14,526",,69%,,69%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2011–12,Triage 3. Urgent,"24,976",,55%,,63%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2012–13,Triage 3. Urgent,"28,549",,74%,,65%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2013–14,Triage 3. Urgent,"29,820",,80%,,67%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2014–15,Triage 3. Urgent,"31,191",,85%,,66%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2015–16,Triage 3. Urgent,"30,103",,75%,,64%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2016–17,Triage 3. Urgent,"30,353",,74%,,61%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2017–18,Triage 3. Urgent,"30,789",,78%,,59%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2018–19,Triage 3. Urgent,"30,529",,67%,,57%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2011–12,Triage 4. Semi-Urgent,"10,947",,62%,,69%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2012–13,Triage 4. Semi-Urgent,"12,344",,83%,,71%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2013–14,Triage 4. Semi-Urgent,"13,676",,90%,,75%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2014–15,Triage 4. Semi-Urgent,"14,032",,94%,,75%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2015–16,Triage 4. Semi-Urgent,"12,987",,90%,,74%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2016–17,Triage 4. Semi-Urgent,"12,939",,90%,,73%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2017–18,Triage 4. Semi-Urgent,"11,956",,94%,,71%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2018–19,Triage 4. Semi-Urgent,"12,049",,87%,,69%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2011–12,Triage 5. Non-Urgent,"2,610",,86%,,88%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2012–13,Triage 5. Non-Urgent,"3,047",,95%,,90%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2013–14,Triage 5. Non-Urgent,"3,360",,98%,,92%
Princess Alexandra Hospital,Hospital,Qld,Major hospitals,FY,2014–15,Triage 5. Non-Urgent,"3,329",,99%,,92%
